"Name";"Artikelnummer";"QR-/Barcode";"Kategorie";"Unterkategorie";"Einheit";"Durchmesser";"Laenge";"Bestand";"Mindestbestand";"Lagerort";"Lieferant";"Notiz";"Listenpreis";"Einkaufspreis";"Rabatt"
"Milwaukee Akku-Streifennagler M18FFN-0X NP34";"4933471406";"4933471406";"Werkzeug";"Werkzeug / Ersatzteil";"Stk";"";"";"0";"0";"";"Holzbau-Shop";"";"600,00";"510,00";"15,0"
"Brennstoffzelle Ganzjahresgas 165mm Roter Ring 1 Kartusche";"50932";"50932";"Befestigungsmittel";"Sonstiges";"Stk";"";"";"0";"0";"";"Holzbau-Shop";"";"12,61";"10,09";"20,0"
"Nagelstreifen Ring Linsenkopf Edelstahl A2 34°";"NK34RL-HA2-2850";"NK34RL-HA2-2850";"Befestigungsmittel";"Nägel / Klammern";"1000 Stk";"2,8";"50";"0";"0";"";"Holzbau-Shop";"";"121,90";"42,66";"65,0"
"Nagelstreifen Ring Linsenkopf Edelstahl A2 34°";"NK34RL-HA2-2865";"NK34RL-HA2-2865";"Befestigungsmittel";"Nägel / Klammern";"1000 Stk";"2,8";"65";"0";"0";"";"Holzbau-Shop";"";"132,50";"46,38";"65,0"
"Nagelstreifen Ring Linsenkopf Edelstahl A2 34°";"NK34RL-HA2-2880";"NK34RL-HA2-2880";"Befestigungsmittel";"Nägel / Klammern";"1000 Stk";"2,8";"80";"0";"0";"";"Holzbau-Shop";"";"153,70";"53,79";"65,0"
"Nagelstreifen Papier Glatt Blank 34°";"NP34-2870";"NP34-2870";"Befestigungsmittel";"Nägel / Klammern";"1000 Stk";"2,8";"70";"0";"0";"";"Holzbau-Shop";"";"29,68";"10,39";"65,0"
"Nagelstreifen Papier Glatt Blank 34°";"NP34-3180";"NP34-3180";"Befestigungsmittel";"Nägel / Klammern";"1000 Stk";"3,1";"80";"0";"0";"";"Holzbau-Shop";"";"37,10";"12,98";"65,0"
"Nagelstreifen Papier Glatt Blank 34°";"NP34-3190";"NP34-3190";"Befestigungsmittel";"Nägel / Klammern";"1000 Stk";"3,1";"90";"0";"0";"";"Holzbau-Shop";"";"42,40";"14,84";"65,0"
"Nagelstreifen Papier Glatt Blank 34°";"NP34-34100";"NP34-34100";"Befestigungsmittel";"Nägel / Klammern";"1000 Stk";"3,4";"100";"0";"0";"";"Holzbau-Shop";"";"31,80";"11,13";"65,0"
"Wimmer Druckluftnagler NP3490W";"NP3490W";"NP3490W";"Befestigungsmittel";"Sonstiges";"Stk";"";"";"0";"0";"";"Holzbau-Shop";"";"422,94";"338,35";"20,0"
"Nagelstreifen Papier Ring Blank 34°";"NP34R-2870";"NP34R-2870";"Befestigungsmittel";"Nägel / Klammern";"1000 Stk";"2,8";"70";"0";"0";"";"Holzbau-Shop";"";"32,86";"11,50";"65,0"
"Nagelstreifen Papier Ring Blank 34°";"NP34R-3170";"NP34R-3170";"Befestigungsmittel";"Nägel / Klammern";"1000 Stk";"3,1";"70";"0";"0";"";"Holzbau-Shop";"";"37,10";"12,98";"65,0"
"Nagelstreifen Papier Ring Blank 34°";"NP34R-3190";"NP34R-3190";"Befestigungsmittel";"Nägel / Klammern";"1000 Stk";"3,1";"90";"0";"0";"";"Holzbau-Shop";"";"47,70";"16,69";"65,0"
"Nagelstreifennägel Ring Verzinkt Papier 34°";"NP34R-HGA-2850";"NP34R-HGA-2850";"Befestigungsmittel";"Nägel / Klammern";"1000 Stk";"2,8";"50";"0";"0";"";"Holzbau-Shop";"";"39,22";"13,73";"65,0"
"Nagelstreifennägel Ring Verzinkt Papier 34°";"NP34R-HGA-2870";"NP34R-HGA-2870";"Befestigungsmittel";"Nägel / Klammern";"1000 Stk";"2,8";"70";"0";"0";"";"Holzbau-Shop";"";"41,34";"14,47";"65,0"
"Nagelstreifennägel Ring Verzinkt Papier 34°";"NP34R-HGA-3190";"NP34R-HGA-3190";"Befestigungsmittel";"Nägel / Klammern";"1000 Stk";"3,1";"90";"0";"0";"";"Holzbau-Shop";"";"53,00";"18,55";"65,0"
"Klammern K90";"K90-20";"K90-20";"Befestigungsmittel";"Nägel / Klammern";"1000 Stk";"";"";"0";"0";"";"Holzbau-Shop";"";"7,39";"2,59";"65,0"
"Klammern K90";"K90-25";"K90-25";"Befestigungsmittel";"Nägel / Klammern";"1000 Stk";"";"";"0";"0";"";"Holzbau-Shop";"";"7,81";"2,73";"65,0"
"Klammern K90";"K90-28";"K90-28";"Befestigungsmittel";"Nägel / Klammern";"1000 Stk";"";"";"0";"0";"";"Holzbau-Shop";"";"8,51";"2,98";"65,0"
"Klammern K90";"K90-30";"K90-30";"Befestigungsmittel";"Nägel / Klammern";"1000 Stk";"";"";"0";"0";"";"Holzbau-Shop";"";"9,30";"3,25";"65,0"
"Klammern K90";"K90-32";"K90-32";"Befestigungsmittel";"Nägel / Klammern";"1000 Stk";"";"";"0";"0";"";"Holzbau-Shop";"";"10,09";"3,53";"65,0"
"Klammern K90";"K90-35";"K90-35";"Befestigungsmittel";"Nägel / Klammern";"1000 Stk";"";"";"0";"0";"";"Holzbau-Shop";"";"10,87";"3,80";"65,0"
"Klammern K90";"K90-38";"K90-38";"Befestigungsmittel";"Nägel / Klammern";"1000 Stk";"";"";"0";"0";"";"Holzbau-Shop";"";"11,90";"4,17";"65,0"
"Klammern K90";"K90-40";"K90-40";"Befestigungsmittel";"Nägel / Klammern";"1000 Stk";"";"";"0";"0";"";"Holzbau-Shop";"";"12,48";"4,37";"65,0"
"Klammern K90";"K90-45";"K90-45";"Befestigungsmittel";"Nägel / Klammern";"1000 Stk";"";"";"0";"0";"";"Holzbau-Shop";"";"14,17";"4,96";"65,0"
"Klammern K90 A2 Edelstahl";"K90-A2-38";"K90-A2-38";"Befestigungsmittel";"Nägel / Klammern";"1000 Stk";"";"";"0";"0";"";"Holzbau-Shop";"";"41,34";"14,47";"65,0"
"Klammergerät TJEP 90/40";"K9050B";"K9050B";"Befestigungsmittel";"Nägel / Klammern";"Stk";"";"";"0";"0";"";"Holzbau-Shop";"";"242,74";"194,19";"20,0"
"KOMBINAGLER 90/40, Stifte (BGN) und Klammern (K90)";"K90GN50B";"K90GN50B";"Befestigungsmittel";"Nägel / Klammern";"Stk";"";"";"0";"0";"";"Holzbau-Shop";"";"286,20";"228,96";"20,0"
"Stauchkopfnägel BGN Verzinkt";"BGN-25";"BGN-25";"Befestigungsmittel";"Sonstiges";"1000 Stk";"";"";"0";"0";"";"Holzbau-Shop";"";"7,15";"2,50";"65,0"
"Stauchkopfnägel BGN Verzinkt";"BGN-30";"BGN-30";"Befestigungsmittel";"Sonstiges";"1000 Stk";"";"";"0";"0";"";"Holzbau-Shop";"";"8,63";"3,02";"65,0"
"Stauchkopfnägel BGN Verzinkt";"BGN-32";"BGN-32";"Befestigungsmittel";"Sonstiges";"1000 Stk";"";"";"0";"0";"";"Holzbau-Shop";"";"9,30";"3,25";"65,0"
"Stauchkopfnägel BGN Verzinkt";"BGN-35";"BGN-35";"Befestigungsmittel";"Sonstiges";"1000 Stk";"";"";"0";"0";"";"Holzbau-Shop";"";"10,21";"3,57";"65,0"
"Stauchkopfnägel BGN Verzinkt";"BGN-38";"BGN-38";"Befestigungsmittel";"Sonstiges";"1000 Stk";"";"";"0";"0";"";"Holzbau-Shop";"";"10,87";"3,80";"65,0"
"Stauchkopfnägel BGN Verzinkt";"BGN-40";"BGN-40";"Befestigungsmittel";"Sonstiges";"1000 Stk";"";"";"0";"0";"";"Holzbau-Shop";"";"11,81";"4,13";"65,0"
"Stauchkopfnägel BGN Verzinkt";"BGN-50";"BGN-50";"Befestigungsmittel";"Sonstiges";"1000 Stk";"";"";"0";"0";"";"Holzbau-Shop";"";"14,17";"4,96";"65,0"
